STRUCTURE,STRUCTURE_ID,ACTION,FREQ,REF_AREA,INDICATOR,SEX,AGE,URBANISATION,UNIT_MEASURE,COMP_BREAKDOWN_1,COMP_BREAKDOWN_2,COMP_BREAKDOWN_3,TIME_PERIOD,AGG_METHOD,UNIT_TYPE,DECIMALS,DATABASE_ID,TIME_FORMAT,COMMENT_TS,UNIT_MULT,DATA_SOURCE,OBS_CONF,OBS_VALUE,OBS_STATUS,FREQ_LABEL,REF_AREA_LABEL,INDICATOR_LABEL,SEX_LABEL,AGE_LABEL,URBANISATION_LABEL,UNIT_MEASURE_LABEL,COMP_BREAKDOWN_1_LABEL,COMP_BREAKDOWN_2_LABEL,COMP_BREAKDOWN_3_LABEL,AGG_METHOD_LABEL,UNIT_TYPE_LABEL,DECIMALS_LABEL,DATABASE_ID_LABEL,TIME_FORMAT_LABEL,UNIT_MULT_LABEL,OBS_STATUS_LABEL,OBS_CONF_LABEL
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CAN,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,1.3212079615648593,A,Annual,Canada,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,CHI,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2010,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,3.512623490669594,A,Annual,Channel Islands,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PSE,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2008,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,3.62352511870242,A,Annual,West Bank and Gaza,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AFG,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,4.842282941238527,A,Annual,Afghanistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ALB,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,16.815116956630316,A,Annual,Albania,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,DZA,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,2.1371193813436444,A,Annual,Algeria,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,ARM,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,8.921720208440703,A,Annual,Armenia,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,AUS,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2009,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,0.45828703185628367,A,Annual,Australia,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NLD,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,5.509850617016671,A,Annual,Netherlands,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,MKD,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,5.841269841269842,A,Annual,North Macedonia,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,NOR,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,1.9703329649975665,A,Annual,Norway,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,OMN,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,4.7777386403663265,A,Annual,Oman,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
datastructure,WB.DATA360:DS_DATA360(1.3),I,A,PAK,WB_WDI_AG_LND_IRIG_AG_ZS,_T,_T,_T,PT_ALAR,_Z,_Z,_Z,2013,_Z,RATIO,2,WB_WDI,P1Y,Agricultural irrigated land (% of total agricultural land),0,WB_WDI,PU,49.44873208379272,A,Annual,Pakistan,Agricultural irrigated land (% of total agricultural land),Total,All age ranges or no breakdown by age,Total,Percentage of agricultural land,Not Applicable,Not Applicable,Not Applicable,Not Applicable,Ratio,Two,World Development Indicators (WDI),Annual,Units,Normal value,Public
